site,count,hazard_inc,hazard_early,hazard_late,P,K
Ovary,2110,7.381180959365716e-6,0.030048686305259243,0.1975519762186709,0.5563981042654028,0.6359177566220348
Lymphoma,4684,1.6385890959441424e-5,0.02684550818465749,0.06419538233259459,0.5123825789923142,0.36683404948896475
Lung,9424,3.296905174178726e-5,0.15705987258082107,0.5696349418392753,0.6193760611205433,0.2915452892639988
Stomach,1304,4.561607642272096e-6,0.1332557482177911,0.5857269060042993,0.41411042944785276,0.2612756252341773
Bladder,2801,7.348822107110666e-6,0.021578914114469643,0.4885764357065536,0.03855765797929311,0.21077124382989673
Pancreas,1953,6.8319557442842545e-6,0.3192760902809485,0.6581818055536065,0.6134152585765489,0.11528282146299138
Liver,1997,6.985878582388351e-6,0.23773012112016362,0.6915535466301099,0.19479218828242365,0.06950865254108778
